Temperature - (Celsius), Year, Statistics, Country, ISO3
24.7698, 2004, Dec Average, Sao Tome and Principe, STP
24.6885, 2005, Jan Average, Sao Tome and Principe, STP
25.4498, 2005, Feb Average, Sao Tome and Principe, STP
24.9598, 2005, Mar Average, Sao Tome and Principe, STP
25.4653, 2005, Apr Average, Sao Tome and Principe, STP
24.3698, 2005, May Average, Sao Tome and Principe, STP
22.72, 2005, Jun Average, Sao Tome and Principe, STP
21.93, 2005, Jul Average, Sao Tome and Principe, STP
22.3588, 2005, Aug Average, Sao Tome and Principe, STP
23.2743, 2005, Sep Average, Sao Tome and Principe, STP
23.7342, 2005, Oct Average, Sao Tome and Principe, STP
24.4342, 2005, Nov Average, Sao Tome and Principe, STP
24.6055, 2005, Dec Average, Sao Tome and Principe, STP
24.9442, 2006, Jan Average, Sao Tome and Principe, STP
25.0598, 2006, Feb Average, Sao Tome and Principe, STP
24.9598, 2006, Mar Average, Sao Tome and Principe, STP
25.0653, 2006, Apr Average, Sao Tome and Principe, STP
24.2598, 2006, May Average, Sao Tome and Principe, STP
24.2999, 2006, Jun Average, Sao Tome and Principe, STP
22.72, 2006, Jul Average, Sao Tome and Principe, STP
22.4944, 2006, Aug Average, Sao Tome and Principe, STP
23.0543, 2006, Sep Average, Sao Tome and Principe, STP
23.8342, 2006, Oct Average, Sao Tome and Principe, STP
23.9342, 2006, Nov Average, Sao Tome and Principe, STP
24.4698, 2006, Dec Average, Sao Tome and Principe, STP
24.9242, 2007, Jan Average, Sao Tome and Principe, STP
25.1698, 2007, Feb Average, Sao Tome and Principe, STP
25.4598, 2007, Mar Average, Sao Tome and Principe, STP
25.2653, 2007, Apr Average, Sao Tome and Principe, STP
24.8598, 2007, May Average, Sao Tome and Principe, STP
23.02, 2007, Jun Average, Sao Tome and Principe, STP
22.9844, 2007, Jul Average, Sao Tome and Principe, STP
22.6044, 2007, Aug Average, Sao Tome and Principe, STP
23.0743, 2007, Sep Average, Sao Tome and Principe, STP
23.5342, 2007, Oct Average, Sao Tome and Principe, STP
23.9242, 2007, Nov Average, Sao Tome and Principe, STP
24.1698, 2007, Dec Average, Sao Tome and Principe, STP
24.1242, 2008, Jan Average, Sao Tome and Principe, STP
25.0598, 2008, Feb Average, Sao Tome and Principe, STP
24.7854, 2008, Mar Average, Sao Tome and Principe, STP
24.8009, 2008, Apr Average, Sao Tome and Principe, STP
24.6498, 2008, May Average, Sao Tome and Principe, STP
22.73, 2008, Jun Average, Sao Tome and Principe, STP
22.5944, 2008, Jul Average, Sao Tome and Principe, STP
22.5044, 2008, Aug Average, Sao Tome and Principe, STP
23.3743, 2008, Sep Average, Sao Tome and Principe, STP
23.7442, 2008, Oct Average, Sao Tome and Principe, STP
24.4242, 2008, Nov Average, Sao Tome and Principe, STP
24.6698, 2008, Dec Average, Sao Tome and Principe, STP
24.7342, 2009, Jan Average, Sao Tome and Principe, STP
25.0498, 2009, Feb Average, Sao Tome and Principe, STP
25.1598, 2009, Mar Average, Sao Tome and Principe, STP
25.1297, 2009, Apr Average, Sao Tome and Principe, STP
24.8498, 2009, May Average, Sao Tome and Principe, STP
23.51, 2009, Jun Average, Sao Tome and Principe, STP
22.53, 2009, Jul Average, Sao Tome and Principe, STP
22.1044, 2009, Aug Average, Sao Tome and Principe, STP
23.01, 2009, Sep Average, Sao Tome and Principe, STP
