Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
205.07643, 2080-2099, gfdl_esm2m, Sep Average, Sao Tome and Principe, STP
194.24213, 2080-2099, gfdl_esm2m, Oct Average, Sao Tome and Principe, STP
359.413, 2080-2099, gfdl_esm2m, Nov Average, Sao Tome and Principe, STP
142.48387, 2080-2099, gfdl_esm2m, Dec Average, Sao Tome and Principe, STP
30.67371, 2080-2099, giss_e2_h, Jan Average, Sao Tome and Principe, STP
24.086819, 2080-2099, giss_e2_h, Feb Average, Sao Tome and Principe, STP
29.614267, 2080-2099, giss_e2_h, Mar Average, Sao Tome and Principe, STP
39.48075, 2080-2099, giss_e2_h, Apr Average, Sao Tome and Principe, STP
58.385994, 2080-2099, giss_e2_h, May Average, Sao Tome and Principe, STP
42.13913, 2080-2099, giss_e2_h, Jun Average, Sao Tome and Principe, STP
36.00504, 2080-2099, giss_e2_h, Jul Average, Sao Tome and Principe, STP
46.70976, 2080-2099, giss_e2_h, Aug Average, Sao Tome and Principe, STP
68.726616, 2080-2099, giss_e2_h, Sep Average, Sao Tome and Principe, STP
83.886185, 2080-2099, giss_e2_h, Oct Average, Sao Tome and Principe, STP
109.99858, 2080-2099, giss_e2_h, Nov Average, Sao Tome and Principe, STP
68.3361, 2080-2099, giss_e2_h, Dec Average, Sao Tome and Principe, STP
73.9516, 2080-2099, giss_e2_r, Jan Average, Sao Tome and Principe, STP
76.77586, 2080-2099, giss_e2_r, Feb Average, Sao Tome and Principe, STP
84.59013, 2080-2099, giss_e2_r, Mar Average, Sao Tome and Principe, STP
58.790977, 2080-2099, giss_e2_r, Apr Average, Sao Tome and Principe, STP
57.153248, 2080-2099, giss_e2_r, May Average, Sao Tome and Principe, STP
55.461773, 2080-2099, giss_e2_r, Jun Average, Sao Tome and Principe, STP
75.44737, 2080-2099, giss_e2_r, Jul Average, Sao Tome and Principe, STP
86.91476, 2080-2099, giss_e2_r, Aug Average, Sao Tome and Principe, STP
81.92505, 2080-2099, giss_e2_r, Sep Average, Sao Tome and Principe, STP
98.05586, 2080-2099, giss_e2_r, Oct Average, Sao Tome and Principe, STP
141.3667, 2080-2099, giss_e2_r, Nov Average, Sao Tome and Principe, STP
102.32468, 2080-2099, giss_e2_r, Dec Average, Sao Tome and Principe, STP
119.15646, 2080-2099, ipsl_cm5a_mr, Jan Average, Sao Tome and Principe, STP
96.32685, 2080-2099, ipsl_cm5a_mr, Feb Average, Sao Tome and Principe, STP
162.25418, 2080-2099, ipsl_cm5a_mr, Mar Average, Sao Tome and Principe, STP
205.15785, 2080-2099, ipsl_cm5a_mr, Apr Average, Sao Tome and Principe, STP
237.01334, 2080-2099, ipsl_cm5a_mr, May Average, Sao Tome and Principe, STP
248.05208, 2080-2099, ipsl_cm5a_mr, Jun Average, Sao Tome and Principe, STP
183.70445, 2080-2099, ipsl_cm5a_mr, Jul Average, Sao Tome and Principe, STP
116.56165, 2080-2099, ipsl_cm5a_mr, Aug Average, Sao Tome and Principe, STP
209.31801, 2080-2099, ipsl_cm5a_mr, Sep Average, Sao Tome and Principe, STP
336.40512, 2080-2099, ipsl_cm5a_mr, Oct Average, Sao Tome and Principe, STP
354.41855, 2080-2099, ipsl_cm5a_mr, Nov Average, Sao Tome and Principe, STP
222.33124, 2080-2099, ipsl_cm5a_mr, Dec Average, Sao Tome and Principe, STP
197.33806, 2080-2099, miroc_esm, Jan Average, Sao Tome and Principe, STP
171.29439, 2080-2099, miroc_esm, Feb Average, Sao Tome and Principe, STP
231.34027, 2080-2099, miroc_esm, Mar Average, Sao Tome and Principe, STP
236.74883, 2080-2099, miroc_esm, Apr Average, Sao Tome and Principe, STP
212.19878, 2080-2099, miroc_esm, May Average, Sao Tome and Principe, STP
194.92598, 2080-2099, miroc_esm, Jun Average, Sao Tome and Principe, STP
131.95177, 2080-2099, miroc_esm, Jul Average, Sao Tome and Principe, STP
99.537094, 2080-2099, miroc_esm, Aug Average, Sao Tome and Principe, STP
107.35692, 2080-2099, miroc_esm, Sep Average, Sao Tome and Principe, STP
223.29854, 2080-2099, miroc_esm, Oct Average, Sao Tome and Principe, STP
276.39337, 2080-2099, miroc_esm, Nov Average, Sao Tome and Principe, STP
239.9597, 2080-2099, miroc_esm, Dec Average, Sao Tome and Principe, STP
184.38383, 2080-2099, miroc_esm_chem, Jan Average, Sao Tome and Principe, STP
158.3498, 2080-2099, miroc_esm_chem, Feb Average, Sao Tome and Principe, STP
230.1346, 2080-2099, miroc_esm_chem, Mar Average, Sao Tome and Principe, STP
232.1811, 2080-2099, miroc_esm_chem, Apr Average, Sao Tome and Principe, STP
214.16713, 2080-2099, miroc_esm_chem, May Average, Sao Tome and Principe, STP
193.88147, 2080-2099, miroc_esm_chem, Jun Average, Sao Tome and Principe, STP
