Rainfall - (MM), Year, Statistics, Country, ISO3
28.8411, 1991, Sep Average, Sao Tome and Principe, STP
187.629, 1991, Oct Average, Sao Tome and Principe, STP
228.165, 1991, Nov Average, Sao Tome and Principe, STP
116.623, 1991, Dec Average, Sao Tome and Principe, STP
99.7856, 1992, Jan Average, Sao Tome and Principe, STP
59.8723, 1992, Feb Average, Sao Tome and Principe, STP
194.377, 1992, Mar Average, Sao Tome and Principe, STP
233.412, 1992, Apr Average, Sao Tome and Principe, STP
173.81, 1992, May Average, Sao Tome and Principe, STP
10.7029, 1992, Jun Average, Sao Tome and Principe, STP
11.9371, 1992, Jul Average, Sao Tome and Principe, STP
7.76461, 1992, Aug Average, Sao Tome and Principe, STP
173.879, 1992, Sep Average, Sao Tome and Principe, STP
154.185, 1992, Oct Average, Sao Tome and Principe, STP
298.617, 1992, Nov Average, Sao Tome and Principe, STP
162.813, 1992, Dec Average, Sao Tome and Principe, STP
210.913, 1993, Jan Average, Sao Tome and Principe, STP
120.37, 1993, Feb Average, Sao Tome and Principe, STP
213.39, 1993, Mar Average, Sao Tome and Principe, STP
175.243, 1993, Apr Average, Sao Tome and Principe, STP
201.154, 1993, May Average, Sao Tome and Principe, STP
15.071, 1993, Jun Average, Sao Tome and Principe, STP
110.557, 1993, Jul Average, Sao Tome and Principe, STP
26.615, 1993, Aug Average, Sao Tome and Principe, STP
70.7375, 1993, Sep Average, Sao Tome and Principe, STP
234.899, 1993, Oct Average, Sao Tome and Principe, STP
348.313, 1993, Nov Average, Sao Tome and Principe, STP
206.555, 1993, Dec Average, Sao Tome and Principe, STP
71.386, 1994, Jan Average, Sao Tome and Principe, STP
70.9162, 1994, Feb Average, Sao Tome and Principe, STP
174.682, 1994, Mar Average, Sao Tome and Principe, STP
203.069, 1994, Apr Average, Sao Tome and Principe, STP
209.837, 1994, May Average, Sao Tome and Principe, STP
17.866, 1994, Jun Average, Sao Tome and Principe, STP
94.5377, 1994, Jul Average, Sao Tome and Principe, STP
21.5808, 1994, Aug Average, Sao Tome and Principe, STP
197.502, 1994, Sep Average, Sao Tome and Principe, STP
433.147, 1994, Oct Average, Sao Tome and Principe, STP
253.929, 1994, Nov Average, Sao Tome and Principe, STP
230.272, 1994, Dec Average, Sao Tome and Principe, STP
131.102, 1995, Jan Average, Sao Tome and Principe, STP
115.851, 1995, Feb Average, Sao Tome and Principe, STP
223.328, 1995, Mar Average, Sao Tome and Principe, STP
175.112, 1995, Apr Average, Sao Tome and Principe, STP
183.332, 1995, May Average, Sao Tome and Principe, STP
106.545, 1995, Jun Average, Sao Tome and Principe, STP
62.5705, 1995, Jul Average, Sao Tome and Principe, STP
73.9841, 1995, Aug Average, Sao Tome and Principe, STP
160.577, 1995, Sep Average, Sao Tome and Principe, STP
467.267, 1995, Oct Average, Sao Tome and Principe, STP
264.69, 1995, Nov Average, Sao Tome and Principe, STP
226.087, 1995, Dec Average, Sao Tome and Principe, STP
123.982, 1996, Jan Average, Sao Tome and Principe, STP
145.355, 1996, Feb Average, Sao Tome and Principe, STP
267.032, 1996, Mar Average, Sao Tome and Principe, STP
252.896, 1996, Apr Average, Sao Tome and Principe, STP
367.183, 1996, May Average, Sao Tome and Principe, STP
59.2052, 1996, Jun Average, Sao Tome and Principe, STP
45.2946, 1996, Jul Average, Sao Tome and Principe, STP
18.2526, 1996, Aug Average, Sao Tome and Principe, STP
135.194, 1996, Sep Average, Sao Tome and Principe, STP
432.327, 1996, Oct Average, Sao Tome and Principe, STP
368.274, 1996, Nov Average, Sao Tome and Principe, STP
