country,impact_prec_b50,impact_prec_gdp,impact_temp_gdp,impact_prec_and_temp_gdp,mean_impact_b50,mean_impact_prec_gdp,mean_impact_temp_gdp,mean_impact_prec_and_temp_gdp
EG.12,-0.005327538000729884,1.7547038485673465,-0.9645504419540759,-0.9645504419540759,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.13,-0.0014027566395807042,1.5570221436011695,-0.969539052534374,-0.969539052534374,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.14,4.1772406956090886e-4,1.4474977269137406,-0.3725520487261964,-0.3725520487261964,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.15,-4.953652928243435e-4,1.505065526140616,-0.653007468459591,-0.653007468459591,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
ER,0.002510475653613151,4.103504469326202,-0.5663121735946456,-0.5663121735946456,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.1,8.332970095625284e-4,3.5555539463587023,-0.7572157367022475,-0.7572157367022475,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.2,0.01397148005916961,10.400707820064333,2.1542946348074343,2.1542946348074343,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.3,0.017595505542334317,15.604026446432162,3.700117857753222,3.700117857753222,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.4,-0.007252230585222734,1.5988646353244989,-0.8130847844995349,-0.8130847844995349,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.5,9.129417020537673e-4,3.580241565905307,-0.782540420118242,-0.782540420118242,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.6,0.013549349571138259,10.030090033299956,-0.3752023994334491,-0.3752023994334491,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.7,0.007225988480036284,6.0239508549829015,-0.153663311473284,-0.153663311473284,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.8,-0.004129245383175094,2.2401232291440145,-0.7843865703563917,-0.7843865703563917,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.9,-0.006290164860611048,1.7833752679650665,-0.9223872492525075,-0.9223872492525075,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.10,-0.01570368133772604,0.3728431974549186,-0.867096419968248,-0.867096419968248,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.11,0.01626594218353394,19.018654098068314,1.570142938603776,1.570142938603776,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.12,0.016377658317428465,18.957202226764505,0.8541017792532297,0.8541017792532297,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.13,0.002871111823748228,17.945398452472034,0.2926737010012856,0.2926737010012856,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.14,-0.007763258388831491,1.5052215105348874,-0.24067374278437045,-0.24067374278437045,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ER.15,0.012423414390462493,9.128893247749573,0.39416867554447804,0.39416867554447804,0.003962411511094665,7.865540687615461,0.16893354867378155,0.16893354867378155
ES,0.02472381515963296,0.8423417780680578,-0.7379263927951263,-0.7379263927951263,0.013503338658486075,0.8913348923545533,-0.6421355856472344,-0.6421355856472344
ES.1,0.022904109668335382,0.8505512998638775,-0.6565942818958049,-0.6565942818958049,0.013503338658486075,0.8913348923545533,-0.6421355856472344,-0.6421355856472344
ES.2,0.019549878826607657,0.8654534052074339,-0.6877400304539093,-0.6877400304539093,0.013503338658486075,0.8913348923545533,-0.6421355856472344,-0.6421355856472344
ES.3,0.02338615096555613,0.8483859012135004,-0.7429564565401496,-0.7429564565401496,0.013503338658486075,0.8913348923545533,-0.6421355856472344,-0.6421355856472344
ES.4,0.009095376833916117,0.9106168972005086,-0.783292728706474,-0.783292728706474,0.013503338658486075,0.8913348923545533,-0.6421355856472344,-0.6421355856472344
ES.5,0.02363573439588973,0.8472621627133136,-0.7570253178795916,-0.7570253178795916,0.013503338658486075,0.8913348923545533,-0.6421355856472344,-0.6421355856472344
