country,min_year,level_last_b50,mean_level_last_b50,trend_last_b50,ratio
RW.7,2053,0.0175663610780433,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.8,2053,0.01672789023806868,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.9,2053,0.01685192221313801,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.10,2053,0.00320113733923706,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.11,2053,0.01719040514843566,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.12,2053,0.01715966190258028,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.13,2053,0.00684041549867941,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.14,2053,0.0177764234767806,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.15,2053,0.01654137667601559,0.015306678169778222,0.01764116168289498,0.8676683794933815
SL,2071,0.49357088082704054,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.1,2071,0.4984532570419176,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.2,2071,0.4806831566596113,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.3,2071,0.4691779403817996,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.4,2071,0.45158935892359897,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.5,2071,0.4924557539336415,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.6,2071,0.4927047402160013,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.7,2071,0.4841117159868734,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.8,2071,0.4828967478995824,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.9,2071,0.4795538277978979,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.10,2071,0.49564598578806457,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.11,2071,0.486097207560904,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.12,2071,0.48744858997574186,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.13,2071,0.46303150578851576,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.14,2071,0.49488442091979173,0.484305958464458,0.4891138448936838,0.9901702099022144
SL.15,2071,0.49659024573034527,0.484305958464458,0.4891138448936838,0.9901702099022144
ZA,2052,0.00449334717569595,0.0045867519813601,0.00668894736842128,0.6857210452894715
